r,features,f1_macro,auc
3,sourceID + destinationServiceType + value,0.8910587819384421,0.9859051979312206
3,sourceID + destinationServiceType + operation,0.864514202484562,0.9671808093044326
3,sourceID + sourceType + destinationServiceType,0.8643845616563619,0.9668303009629442
3,sourceID + sourceAddress + destinationServiceType,0.8640280507474332,0.966788598322492
2,sourceID + destinationServiceType,0.8640280507474332,0.966788598322492
3,sourceID + destinationServiceType + destinationLocation,0.8640280507474332,0.966788598322492
3,sourceID + destinationServiceType + accessedNodeType,0.8634135310440747,0.9553963125536782
3,sourceID + destinationServiceType + accessedNodeAddress,0.8618945246473283,0.9616387259934139
3,sourceID + destinationServiceAddress + destinationServiceType,0.8618945246473283,0.9616084617465068
3,sourceID + sourceType + accessedNodeType,0.8554822605157483,0.9857939817288056
3,sourceID + destinationServiceAddress + accessedNodeType,0.8550940368237552,0.9866167141014506
3,sourceID + accessedNodeAddress + accessedNodeType,0.8550940368237552,0.9866167141014506
3,sourceID + sourceAddress + accessedNodeType,0.8543610429535395,0.9857824442611243
3,sourceID + destinationLocation + accessedNodeType,0.8542959109147624,0.9857697719970855
2,sourceID + accessedNodeType,0.8542959109147624,0.985701353915726
3,sourceID + accessedNodeType + operation,0.8535565906772185,0.9898450739099539
3,sourceAddress + sourceType + accessedNodeType,0.8470880887633558,0.9409679234268029
3,sourceType + destinationLocation + accessedNodeType,0.8458718744028253,0.9755196226507816
3,sourceType + destinationServiceAddress + value,0.8407100661283119,0.966523061740493
3,sourceType + accessedNodeAddress + value,0.8407100661283119,0.966523061740493
3,sourceType + destinationLocation + value,0.8303800216079085,0.9626867872594067
3,sourceID + sourceLocation + destinationServiceType,0.8194696815302607,0.9542189482414998
3,sourceID + destinationLocation + operation,0.8129126212482773,0.9579217352149365
3,sourceID + sourceAddress + operation,0.8051967794617774,0.9568129338957503
3,sourceID + sourceType + operation,0.8051967794617774,0.956297421112726
2,sourceID + operation,0.8051967794617774,0.956297421112726
3,sourceID + destinationServiceAddress + operation,0.80498027757713,0.9575086052117063
3,sourceID + accessedNodeAddress + operation,0.8042872642323339,0.9571353625312948
3,sourceAddress + sourceType + value,0.7938380162283902,0.9620629167043067
3,sourceType + accessedNodeAddress + accessedNodeType,0.783196337434852,0.931823579249356
3,sourceType + destinationServiceAddress + accessedNodeType,0.783196337434852,0.931823579249356
2,sourceType + accessedNodeType,0.7809464258566592,0.9372700900062048
3,sourceType + accessedNodeType + operation,0.7809464258566592,0.9372700900062048
3,sourceAddress + destinationServiceType + value,0.778760204855916,0.9649664777997178
2,sourceType + operation,0.777115771060983,0.8281582395538457
3,sourceAddress + destinationServiceType + accessedNodeType,0.7719865948595253,0.8789446728838799
3,sourceID + sourceLocation + value,0.7511549181983885,0.9764750244899029
3,destinationServiceType + accessedNodeAddress + accessedNodeType,0.7502278499339919,0.89878586839816
3,destinationServiceAddress + destinationServiceType + accessedNodeType,0.7502278499339919,0.898927205136463
3,sourceType + destinationServiceAddress + destinationServiceType,0.7447124682696447,0.9426542932798558
3,sourceType + destinationLocation + operation,0.7392487657881941,0.9370253237935653
3,sourceType + destinationServiceType + accessedNodeAddress,0.737577350046181,0.9418673022992206
3,sourceID + accessedNodeType + value,0.73529800703607,0.9798451352585777
3,sourceID + destinationLocation + value,0.7302931377388507,0.9677320662907837
3,sourceID + sourceType + value,0.7267159942698711,0.9722987368122459
3,sourceAddress + destinationServiceAddress + destinationServiceType,0.7222165558236563,0.9253722502942614
3,sourceAddress + destinationServiceType + accessedNodeAddress,0.7218931360998835,0.9252281773268958
3,sourceType + accessedNodeAddress + operation,0.717544754247095,0.9301549683546657
3,sourceType + destinationServiceAddress + operation,0.717544754247095,0.9301549683546657
3,sourceID + accessedNodeAddress + value,0.70881703075909,0.9670678006999983
3,sourceID + destinationServiceAddress + value,0.70881703075909,0.9670722787643722
3,destinationServiceAddress + destinationServiceType + value,0.7002580110225969,0.9457135544978723
3,sourceID + sourceAddress + value,0.7000106983076659,0.9771225860867535
3,sourceID + sourceLocation + accessedNodeType,0.699057196869991,0.9727812462285582
3,sourceID + operation + value,0.6987057258168872,0.978103571434225
3,sourceAddress + sourceType + operation,0.6983275212472217,0.9200359144961929
3,destinationServiceType + accessedNodeAddress + value,0.6972312678139068,0.9484274590192809
2,sourceID + value,0.6929818862322916,0.9770513035865651
3,sourceType + sourceLocation + value,0.6889233817177354,0.952949511779724
3,sourceID + sourceLocation + operation,0.6881602499640592,0.952324118078226
3,sourceID + destinationServiceAddress + destinationLocation,0.6856831488305803,0.9405762814614118
3,sourceID + destinationLocation + accessedNodeAddress,0.6851144527246233,0.940407484145795
3,destinationServiceAddress + destinationServiceType + operation,0.6749136817452671,0.9092782196077677
3,destinationServiceType + accessedNodeAddress + operation,0.6748945883571176,0.9092647350601766
3,sourceID + sourceLocation + destinationLocation,0.6663128963444643,0.9387912940702009
3,sourceID + sourceLocation + destinationServiceAddress,0.6651768770239787,0.9432243201629473
3,sourceID + sourceLocation + accessedNodeAddress,0.6651768770239787,0.9437314340545395
3,sourceLocation + destinationServiceType + value,0.6625369950481209,0.945819962814588
3,destinationServiceAddress + destinationServiceType + accessedNodeAddress,0.6586270377741649,0.8957581234265092
