r,features,f1_macro,auc
3,f_bytes + b_bytes + state,0.9781828248124018,0.9983277487922987
3,n_bytes + b_pkts + state,0.9781546016594719,0.9984423045719325
3,n_bytes + b_bytes + state,0.9781491847961746,0.9982166847808047
3,f_bytes + b_pkts + state,0.9780580907074533,0.9983291604461033
3,n_bytes + duration + state,0.9734290252340795,0.9987009088173758
3,n_bytes + f_pkts + state,0.9730324723474222,0.9988155473307732
3,n_pkts + n_bytes + state,0.9730322234352948,0.9988141598298492
3,n_bytes + f_bytes + state,0.9729647498789007,0.9984779942910734
2,n_bytes + state,0.9729029341376203,0.9984774263152462
3,f_bytes + duration + state,0.9677549551787923,0.9986131024206903
3,f_pkts + f_bytes + state,0.9673197900830235,0.9987271312760526
2,f_bytes + state,0.9671914287700062,0.9982740157756117
2,f_pkts + f_bytes,0.9507565723392967,0.9955061031556127
3,f_pkts + f_bytes + duration,0.9385519033302394,0.9954843527544075
3,n_bytes + b_pkts + duration,0.936394589762193,0.9933118961843072
3,n_pkts + f_bytes + state,0.9339888705983406,0.9987521970858408
2,f_bytes + duration,0.9322197159670189,0.9948199049040538
3,n_bytes + b_pkts + b_bytes,0.9309260047979213,0.9921877187471939
2,n_bytes + b_pkts,0.9307135094654766,0.9919423571035948
3,n_bytes + b_bytes + duration,0.9245849404493107,0.9927919639712064
3,n_pkts + n_bytes + duration,0.9210623048173737,0.991042534827414
2,n_bytes + b_bytes,0.9192995534236307,0.9909221485340151
3,n_bytes + f_pkts + b_pkts,0.9155185524594749,0.9929648503660724
3,n_bytes + f_bytes + duration,0.9103727446520248,0.9940189118341832
3,f_pkts + f_bytes + b_bytes,0.905735673625402,0.9963492337119405
3,n_bytes + f_pkts + duration,0.9038700694514542,0.9907028250772996
3,n_pkts + n_bytes + f_pkts,0.9036867010118167,0.9903303994416417
3,n_bytes + f_pkts + b_bytes,0.9023079662146065,0.993377050303337
2,n_bytes + duration,0.8999327078375243,0.9904748712040053
3,n_pkts + n_bytes + f_bytes,0.8971031114402435,0.9965099991478754
3,n_pkts + n_bytes + b_pkts,0.8965951566567515,0.9938845881027835
3,n_pkts + n_bytes + b_bytes,0.8947715556786061,0.9941376854324121
3,f_bytes + b_bytes + duration,0.8914610883855666,0.9960092295631909
2,f_bytes + b_bytes,0.8912381747460116,0.9955584510430675
3,n_bytes + f_pkts + f_bytes,0.889975033403473,0.9956955571487232
3,n_bytes + f_bytes + b_pkts,0.8884272530617615,0.9964562864281458
3,f_bytes + b_pkts + b_bytes,0.88378783127887,0.9959950618783209
3,f_bytes + b_pkts + duration,0.8822509995217016,0.9952335917693771
3,n_pkts + f_bytes + b_pkts,0.8820577727415657,0.9954922559110567
2,f_bytes + b_pkts,0.8820577727415657,0.9953996634958322
3,f_pkts + f_bytes + b_pkts,0.8820577727415657,0.9956077635623937
3,n_bytes + f_bytes + b_bytes,0.8818341041030869,0.9962159710726313
2,n_pkts + n_bytes,0.8782824519886312,0.9917931055856546
3,n_pkts + f_bytes + b_bytes,0.8609622840009259,0.9960371213070301
3,n_pkts + f_pkts + f_bytes,0.8592032661411672,0.9955466649832274
2,n_pkts + f_bytes,0.8592032661411672,0.9956688772239912
3,n_pkts + f_bytes + duration,0.8589241734565018,0.9954506938725703
3,f_pkts + b_pkts + duration,0.8413266849100708,0.8585807586635508
3,n_pkts + b_pkts + duration,0.8413266849100708,0.8585807586635508
2,n_bytes + f_bytes,0.838463336102657,0.9946289435926277
2,n_bytes + f_pkts,0.8372205023182111,0.9890554129391342
3,f_pkts + b_bytes + duration,0.8338587827059134,0.8721238200142201
3,n_pkts + b_bytes + duration,0.8336387823988289,0.8720981351432094
2,n_pkts + b_bytes,0.8234704269168942,0.871578552844122
3,n_pkts + b_pkts + b_bytes,0.8234704269168942,0.8715780120141983
3,n_pkts + f_pkts + b_bytes,0.8231116532313013,0.8728971326433766
3,f_pkts + b_pkts + b_bytes,0.8231116532313013,0.8728984690570879
2,f_pkts + b_bytes,0.8231116532313013,0.8728984690570879
3,n_pkts + f_pkts + b_pkts,0.8206214693857659,0.8531368813636379
2,f_pkts + b_pkts,0.8206214693857659,0.8531368813636379
2,n_pkts + b_pkts,0.8204259754177974,0.8510743569065955
3,n_pkts + f_pkts + duration,0.8064457905371846,0.8407463533417545
2,f_pkts + duration,0.8050264906055041,0.8242152358202158
2,b_pkts + duration,0.7932600203680238,0.8595761132037204
2,b_bytes + duration,0.7904283751241076,0.8720302464850569
3,b_pkts + b_bytes + duration,0.7883046372755028,0.873020725772174
2,n_pkts + duration,0.7863859451246797,0.8435064065018564
2,n_pkts + f_pkts,0.6684657839171202,0.8302270991161393
3,n_pkts + b_bytes + state,0.6049258473021099,0.9619433690314556
3,f_pkts + b_bytes + state,0.6049258473021099,0.9619431163657384
3,n_pkts + b_pkts + state,0.6045928512864325,0.9619029637018046
3,f_pkts + b_pkts + state,0.6045928512864325,0.9619027757686265
2,f_pkts + state,0.6034150571850805,0.9595238045464137
3,f_pkts + duration + state,0.6034087417526707,0.9592117428905953
3,b_bytes + duration + state,0.6000873906251829,0.960245195936578
3,b_pkts + duration + state,0.5997614064407364,0.9602349971775099
2,duration + state,0.5986341921922428,0.9578136244927344
2,n_pkts + state,0.5962217263051088,0.9596063488097941
3,n_pkts + f_pkts + state,0.5962217263051088,0.9596063488097941
3,n_pkts + duration + state,0.5962035964325728,0.9593101751220541
2,b_bytes + state,0.5805461076925679,0.8921978660172897
3,b_pkts + b_bytes + state,0.5805461076925679,0.8921978660172897
2,b_pkts + state,0.5802450533363096,0.8920391378207009
2,b_pkts + b_bytes,0.29462300850284245,0.6578894715826713
